"","m","n","a","b","c","d","OR","OR_lower","OR_upper","p_midp","p_fisher","p_chi2"
"1","confd2","confd3","8","42","60","72","4.28477739851377","1.94509106350277","10.5799519001681","0.000172125653925548","0.000259839015779342","0.000245881433907423"
"2","confd2","indvar1","47","3","112","20","0.373760418777764","0.0815612595118285","1.16879113202506","0.0954326460581401","0.133512772182415","0.0971990988950689"
"3","confd2","indvar2","42","8","118","14","1.61215261636104","0.598023996936951","4.08679457906777","0.332927330789117","0.318293731206785","0.319046168013636"
"4","confd2","indvar3","37","13","91","41","0.785168208370265","0.365589758147661","1.61065054379934","0.515936137978174","0.587291543930479","0.504691201020021"
"5","confd2","indvar4","20","30","40","92","0.652973479382222","0.33138697569845","1.29980132008225","0.222544720805456","0.221580952234392","0.214166330198911"
"6","confd2","indvar5","40","10","107","25","1.07735139299495","0.454031788502583","2.40303577991099","0.860061848221935","0.836553068725236","0.871260590915042"
"7","confd2","indvar6","41","9","100","32","0.694174524697784","0.287391663020348","1.54116627299408","0.379614452765707","0.430632350555982","0.368211841213996"
"8","confd2","indvar7","38","12","110","22","1.58132200282793","0.693145858661363","3.48068068124543","0.269110945596497","0.28877197989473","0.257204544726587"
"9","confd3","indvar1","56","12","103","11","1.9959922727039","0.816009644855529","4.93270773581366","0.128813243566081","0.165246747071828","0.116197911170084"
"10","confd3","indvar2","65","3","95","19","0.241812625216541","0.0528605403703654","0.753855076009905","0.0121287399435158","0.017392672383526","0.0141484599316918"
"11","confd3","indvar3","51","17","77","37","0.697463216304839","0.34781714026948","1.3593369052062","0.293189003131836","0.317728823416775","0.286759214160919"
"12","confd3","indvar4","22","46","38","76","1.04348849952896","0.550871894475809","2.00351320640422","0.89676769029072","1","0.891735107690576"
"13","confd3","indvar5","55","13","92","22","0.992332329854367","0.450146473097953","2.11694343013911","0.984337864307776","1","0.976141700553363"
"14","confd3","indvar6","55","13","86","28","0.730899217890018","0.338019819023344","1.51498232143736","0.404559230881587","0.465144138532883","0.395084750265949"
"15","confd3","indvar7","62","6","86","28","0.304470874222206","0.107009196618437","0.739169237969906","0.00736451821253181","0.0100118806434663","0.00840805884163944"
"16","indvar1","indvar2","139","20","21","2","1.42046626692486","0.370768238919096","10.1740564714113","0.646041684909226","1","0.593384943917507"
"17","indvar1","indvar3","106","53","22","1","9.62996247152315","1.94122833694614","233.673349608755","0.00217795269084986","0.00289994479295299","0.00445074599040556"
"18","indvar1","indvar4","46","113","14","9","3.76792290524913","1.53087745236019","9.74371786916499","0.00388603600253168","0.00385793480155854","0.00232283420095128"
"19","indvar1","indvar5","127","32","20","3","1.61164328071453","0.505739647833534","7.46765106616043","0.448740193961365","0.575415793845512","0.420515432585647"
"20","indvar1","indvar6","122","37","19","4","1.39940589049689","0.483449796117623","5.20560782492403","0.55779406555696","0.789444907392361","0.528153727277088"
"21","indvar1","indvar7","130","29","18","5","0.789128812713954","0.284092638514936","2.60178102655456","0.674205723638374","0.774485721482196","0.687284047907291"
"22","indvar2","indvar3","113","47","15","7","0.882719832520998","0.34469696132279","2.47607740862386","0.802496003553031","0.80695434283826","0.814043572994319"
"23","indvar2","indvar4","53","107","7","15","0.952358645846338","0.340653831561284","2.42793359991997","0.921068169141723","1","0.902697064164125"
"24","indvar2","indvar5","135","25","12","10","0.224520677417335","0.0862387017953166","0.590578986557777","0.00290536755578996","0.00243779212636084","0.000872851940838818"
"25","indvar2","indvar6","129","31","12","10","0.290398815274138","0.113474011469403","0.753782608154765","0.0118050670971361","0.0119039871420367","0.00604372655769683"
"26","indvar2","indvar7","131","29","17","5","0.740179807764849","0.264373086341419","2.45158441172398","0.596953164566246","0.568289420863101","0.603559275162686"
"27","indvar3","indvar4","54","74","6","48","0.176208469075137","0.0630452925422827","0.415184131315885","2.22998275259956e-05","2.71504086438951e-05","4.62282378308847e-05"
"28","indvar3","indvar5","111","17","36","18","0.30897668023736","0.142137459732825","0.665578284301235","0.00282058645352645","0.00338689728058315","0.00171571711900972"
"29","indvar3","indvar6","106","22","35","19","0.38460939768518","0.185153538966296","0.799100569683564","0.0106918724831265","0.0112757588592961","0.00793253706363356"
"30","indvar3","indvar7","109","19","39","15","0.454845086433895","0.209543924399454","0.997556113731263","0.0493032204137853","0.0595501235962223","0.0408512745815696"
"31","indvar4","indvar5","56","4","91","31","0.217763178588012","0.0606960581980342","0.590747327729546","0.00170624274653963","0.00236907420974268","0.00256073206544747"
"32","indvar4","indvar6","47","13","94","28","0.933418881586305","0.429668282293132","1.94738556797968","0.856910700518523","1","0.845437965343901"
"33","indvar4","indvar7","54","6","94","28","0.381630372293107","0.133785411128624","0.929912392501529","0.0331670323106092","0.0427371561037343","0.0350950270869424"
"34","indvar5","indvar6","119","28","22","13","0.399517076279301","0.179403989278233","0.909731747851693","0.0293739272175856","0.0405202359204293","0.0212796597870545"
"35","indvar5","indvar7","121","26","27","8","0.719476882084612","0.300622068427418","1.87579473510279","0.483707659083473","0.475659182999274","0.480643323412221"
"36","indvar6","indvar7","113","28","35","6","1.41835145457332","0.569749158099832","4.10204173865901","0.4690160035072","0.5048696748393","0.450015423912908"
