"","m","n","a","b","c","d","OR","OR_lower","OR_upper","p_midp","p_fisher","p_chi2"
"1","confd2","confd3","8","42","60","72","0.23338389864324","0.0945183881208489","0.514114746997591","0.000172125653925437","0.000259839015779342","0.000245881433907423"
"2","confd2","indvar1","47","3","112","20","2.67549571298958","0.855584862512939","12.2607228724194","0.0954326460581401","0.133512772182415","0.0971990988950689"
"3","confd2","indvar2","42","8","118","14","0.620294497147422","0.24469054674828","1.67217370059053","0.332927330789118","0.318293731206785","0.319046168013636"
"4","confd2","indvar3","37","13","91","41","1.27364099327546","0.620867142068641","2.73530638567862","0.515936137978174","0.587291543930479","0.504691201020021"
"5","confd2","indvar4","20","30","40","92","1.53145644199688","0.769348349282119","3.01762010378454","0.222544720805455","0.221580952234392","0.214166330198911"
"6","confd2","indvar5","40","10","107","25","0.928180555932554","0.416140287364776","2.20248895633067","0.860061848221935","0.836553068725236","0.871260590915042"
"7","confd2","indvar6","41","9","100","32","1.4406170000449","0.648859255177744","3.47957205678996","0.379614452765707","0.430632350555982","0.368211841213996"
"8","confd2","indvar7","38","12","110","22","0.632374169047888","0.287300126491979","1.44269779225292","0.269110945596497","0.28877197989473","0.257204544726587"
"9","confd3","indvar1","56","12","103","11","0.501003811287157","0.20272841075492","1.22547571135271","0.128813243566081","0.165246747071828","0.116197911170084"
"10","confd3","indvar2","65","3","95","19","4.13549516943031","1.32651491224669","18.9177029404832","0.0121287399435159","0.017392672383526","0.0141484599316918"
"11","confd3","indvar3","51","17","77","37","1.43377134673175","0.735652799662865","2.87507395186224","0.293189003131836","0.317728823416775","0.286759214160919"
"12","confd3","indvar4","22","46","38","76","0.958323688536793","0.499123238520966","1.81530408435806","0.89676769029072","1","0.891735107690576"
"13","confd3","indvar5","55","13","92","22","1.00773629301753","0.472379179227423","2.22149913364399","0.984337864307777","1","0.976141700553363"
"14","confd3","indvar6","55","13","86","28","1.36817851206119","0.660073709012815","2.95840641205402","0.404559230881587","0.465144138532883","0.395084750265949"
"15","confd3","indvar7","62","6","86","28","3.28420432080875","1.35287015291174","9.34499119328691","0.00736451821253192","0.0100118806434663","0.00840805884163944"
"16","indvar1","indvar2","139","20","21","2","0.703988062507764","0.0982892126468889","2.69710265074298","0.646041684909226","1","0.593384943917507"
"17","indvar1","indvar3","106","53","22","1","0.103846640813431","0.00427947817615627","0.515137751169015","0.00217795269084975","0.00289994479295299","0.00445074599040556"
"18","indvar1","indvar4","46","113","14","9","0.265394607971219","0.102630229387553","0.653220150612498","0.00388603600253179","0.00385793480155854","0.00232283420095128"
"19","indvar1","indvar5","127","32","20","3","0.620468289996562","0.133910916718041","1.97730196610797","0.448740193961366","0.575415793845512","0.420515432585647"
"20","indvar1","indvar6","122","37","19","4","0.714571217915289","0.192100525746884","2.06846710461059","0.55779406555696","0.789444907392361","0.528153727277088"
"21","indvar1","indvar7","130","29","18","5","1.26725191557033","0.384352099501725","3.51997857187499","0.674205723638374","0.774485721482196","0.687284047907291"
"22","indvar2","indvar3","113","47","15","7","1.13290742686915","0.403864595071676","2.90109897157914","0.802496003553032","0.80695434283826","0.814043572994319"
"23","indvar2","indvar4","53","107","7","15","1.05002000013066","0.411872878250445","2.93553134399458","0.921068169141723","1","0.902697064164125"
"24","indvar2","indvar5","135","25","12","10","4.45449929442206","1.69325360834214","11.5957218648009","0.00290536755578996","0.00243779212636084","0.000872851940838818"
"25","indvar2","indvar6","129","31","12","10","3.44333058232003","1.32664244197404","8.81259053990207","0.0118050670971361","0.0119039871420367","0.00604372655769683"
"26","indvar2","indvar7","131","29","17","5","1.35102371603883","0.407899477259601","3.78253328974861","0.596953164566246","0.568289420863101","0.603559275162686"
"27","indvar3","indvar4","54","74","6","48","5.67564058372698","2.40856989603769","15.861612495958","2.22998275258846e-05","2.71504086438951e-05","4.62282378308847e-05"
"28","indvar3","indvar5","111","17","36","18","3.2367062470543","1.50245286480442","7.03544302733212","0.00282058645352645","0.00338689728058315","0.00171571711900972"
"29","indvar3","indvar6","106","22","35","19","2.60017934476883","1.25140694167693","5.40092296146732","0.0106918724831266","0.0112757588592961","0.00793253706363356"
"30","indvar3","indvar7","109","19","39","15","2.19849383807298","1.0024498734809","4.77226912145494","0.0493032204137853","0.0595501235962223","0.0408512745815696"
"31","indvar4","indvar5","56","4","91","31","4.5927411606178","1.69277109359658","16.4755344859015","0.00170624274653974","0.00236907420974268","0.00256073206544747"
"32","indvar4","indvar6","47","13","94","28","1.07135428394636","0.513508991975047","2.32737681884038","0.856910700518523","1","0.845437965343901"
"33","indvar4","indvar7","54","6","94","28","2.62042446059195","1.07537011880219","7.47465655308691","0.0331670323106092","0.0427371561037343","0.0350950270869424"
"34","indvar5","indvar6","119","28","22","13","2.50309361228224","1.09922513132193","5.57401206084177","0.0293739272175855","0.0405202359204293","0.0212796597870545"
"35","indvar5","indvar7","121","26","27","8","1.38990039282598","0.533107371124593","3.32643576445033","0.483707659083473","0.475659182999274","0.480643323412221"
"36","indvar6","indvar7","113","28","35","6","0.705044770150478","0.243781039713873","1.75515836361232","0.4690160035072","0.5048696748393","0.450015423912908"
