num,confd1,confd2,confd3,indvar1,indvar2,indvar3,indvar4,indvar5,indvar6,indvar7,,,,,,,,,,,
1,C,N,Y,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
2,C,N,Y,N,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
3,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
4,D,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
5,C,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
6,C,N,N,Y,N,Y,N,Y,Y,Y,,,,,,,,,,,
7,C,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
8,C,N,N,Y,N,Y,Y,Y,Y,N,,,,,,,,,,,
9,B,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
10,B,N,N,Y,Y,N,N,N,N,N,,,,,,,,,,,
11,B,N,Y,Y,Y,N,N,N,N,Y,,,,,,,,,,,
12,C,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
13,B,N,N,Y,Y,N,N,N,N,Y,,,,,,,,,,,
14,B,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
15,B,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
16,D,Y,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
17,A,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
18,B,N,Y,N,Y,Y,N,Y,Y,N,,,,,,,,,,,
19,B,Y,N,Y,Y,N,N,N,N,N,,,,,,,,,,,
20,A,N,N,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
21,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
22,B,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
23,C,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
24,B,Y,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
25,B,N,N,Y,Y,N,N,Y,Y,Y,,,,,,,,,,,
26,C,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
27,D,N,Y,N,Y,Y,Y,N,Y,Y,,,,,,,,,,,
28,B,N,Y,Y,Y,N,N,N,N,Y,,,,,,,,,,,
29,B,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,
30,B,N,N,Y,Y,N,Y,Y,N,Y,,,,,,,,,,,
31,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
32,C,N,N,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
33,C,N,N,N,Y,Y,N,Y,Y,Y,,,,,,,,,,,
34,A,N,Y,Y,Y,N,N,N,Y,Y,,,,,,,,,,,
35,C,N,N,N,Y,Y,Y,Y,Y,N,,,,,,,,,,,
36,A,N,Y,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
37,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
38,C,Y,N,Y,Y,Y,N,Y,Y,N,,,,,,,,,,,
39,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
40,B,Y,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
41,C,N,N,Y,N,Y,N,Y,N,Y,,,,,,,,,,,
42,C,N,Y,Y,Y,Y,N,Y,Y,Y,,,,,,,,,,,
43,C,Y,N,Y,Y,Y,Y,Y,N,Y,,,,,,,,,,,
